time,action,price,positions,capital,profit_percentage,profit
2024-05-23 21:07:06.848734,enter,66575.04,0.015020644373627115,100,,
2024-05-23 21:09:06.928570,exit,66695.9,0.015020644373627115,281.5395078996582,0.1815395078996582,181.5395078996582
2024-05-23 22:17:09.556584,enter,67366.22,0.01484423498899003,463.0790157993164,,
2024-05-23 22:19:09.643128,exit,67561.55,0.01484423498899003,753.0314578392613,0.28995244203994486,289.95244203994486
2024-05-23 22:21:09.714346,enter,67321.17,0.014854168458450738,1042.983899879206,,
2024-05-23 22:31:10.106563,exit,67463.91,0.014854168458450738,1255.0123004551397,0.2120284005759336,212.02840057593363
2024-05-24 00:13:13.709702,enter,67531.03,0.0148080075189139,1467.0407010310732,,
2024-05-24 00:27:14.288314,exit,67652.35,0.0148080075189139,1646.691448250547,0.17965074721947374,179.65074721947377
2024-05-24 00:33:14.538486,enter,67617.77,0.014789011823371282,1826.3421954700207,,
2024-05-24 00:42:14.883994,exit,67754.86,0.014789011823371282,2029.0847585566123,0.20274256308659175,202.74256308659173
